Quarter,Y,C,L,K_p,K_b,K_g,I_p,I_bat,I_grid,u,F,A_bat,V,P_bat,B_star,r_star,tau
30,-0.002426335368029526,0.007668353543596366,-0.005244174766723636,-0.0006013555241700623,0.00012823051231964071,4.312013801092351e-05,-0.03246718780873621,-0.0033504063219618975,-0.0033504063219618975,0.002233604214641265,0.021232637817923755,0.028442849341429984,-0.0028355390320934696,0.0,-5.6157282831516e-17,5.559571000320084e-20,-0.0009240709539323708
31,-0.002463563981512167,0.007732562612568626,-0.0052985717161474575,-0.0006068298951372569,0.00012139238357503006,4.2061828408179086e-05,-0.032813214514313814,-0.003323570416690466,-0.003323570416690466,0.0022157136111269774,0.021062569771726075,0.02822127798031729,-0.0028790462850609272,0.0,-5.757064927447323e-17,5.69949427817285e-20,-0.0008600064351782989
32,-0.002501236759433033,0.007797928143524568,-0.005353808181991847,-0.0006123869491237968,0.00011478333841056013,4.102090387647633e-05,-0.03316448218395439,-0.003296970730243353,-0.003296970730243353,0.0021979804868289023,0.02089399872268652,0.0280014799316344,-0.0029230726112026246,0.0,-5.900773094633298e-17,5.841765363686965e-20,-0.0007957339708103206
33,-0.0025393604370755156,0.007864463059048659,-0.005409894640420958,-0.0006180279360915432,0.0001083962941436233,3.9997110613676635e-05,-0.033521057113346096,-0.0032706045718000018,-0.0032706045718000018,0.002180403047866668,0.020726907618181366,0.02778343962684773,-0.0029676258817136177,0.0,-6.046890602171667e-17,5.98642169614995e-20,-0.0007312441347244874
34,-0.002577941822557835,0.007932180480396104,-0.005466841709712808,-0.0006237541167416281,0.00010222438295173978,3.899019840330171e-05,-0.033883006483797606,-0.0032444692973053564,-0.0032444692973053564,0.0021629795315369037,0.020561279701955402,0.02756714167369404,-0.0030127140529074485,0.0,-6.195455828691766e-17,6.133501270404848e-20,-0.0006665274747475209
35,-0.002616987798234223,0.008001093729716089,-0.005524660152211025,-0.0006295667628072729,9.62609453856928e-05,3.7999920562584264e-05,-0.03425039837469683,-0.0032185623083275505,-0.0032185623083275505,0.0021457082055517003,0.020397098506882747,0.02735257085313887,-0.003058345167853641,0.0,-6.346507721997521e-17,6.283042644777546e-20,-0.0006015745100933288
36,-0.0026565053221031566,0.008071216332315246,-0.0055833608763006404,-0.0006354671573471633,9.049952407826885e-05,3.702603389134135e-05,-0.034623301776115424,-0.003192881050947951,-0.003192881050947951,0.0021285873672986346,0.020234347847932634,0.027139712116409004,-0.00310452735802344,0.0,-6.500085807189784e-17,6.435084949117886e-20,-0.0005363757288447942
37,-0.0026965014292230733,0.00814256201896158,-0.005642954938408258,-0.0006414565950394601,8.493385764270647e-05,3.606829862165543e-05,-0.03500178660156161,-0.0031674230146825633,-0.0031674230146825633,0.0021116153431217093,0.020073011815334052,0.026928550582096835,-0.0031512688449442765,0.0,-6.656230194905129e-17,6.589667892956077e-20,-0.00047092158545948993
38,-0.0027369832331359464,0.008215144728229092,-0.005703453545026984,-0.0006475363824765259,7.955787475513477e-05,3.5126478368348204e-05,-0.035385923700883656,-0.0031421857314339005,-0.0031421857314339005,0.0020947904876226003,0.01991307476793335,0.02671907153333458,-0.003198577941863441,0.0,-6.814981589672677e-17,6.74683177377595e-20,-0.0004052024982979539
39,-0.002777957927299187,0.008288978608883361,-0.00576486805476653,-0.0006537078384604418,7.436568841545558e-05,3.420034008023255e-05,-0.03577578487332668,-0.003117166774472387,-0.003117166774472387,0.0020781111829815914,0.0197545213267391,0.02651126041503642,-0.003246463055421471,0.0,-6.976381298390513e-17,6.906617485406608e-20,-0.0003392088471732006
