Quarter,Output,Consumption,Utilization,Battery_Investment,Grid_Investment,Flexibility,Battery_Tech,Net_Foreign_Assets,Interest_Rate
10,8.39014562558082e-05,-6.87568203743272e-05,0.000126623687443983,-1.11611600788278e-06,-2.79029001970695e-06,0.000633023819892942,0.00115780482541838,-0.0037570166740402,3.75701667404069e-06
11,8.19336831691109e-05,-6.64084349821792e-05,0.000124106974127347,-1.09393260699833e-06,-2.73483151749625e-06,0.000620442133879462,0.0011450102920032,-0.00364791510961302,3.64791510961381e-06
12,8.00236680777999e-05,-6.41282453268666e-05,0.00012166354987031,-1.07239520761963e-06,-2.68098801904822e-06,0.000608226838400006,0.00113246765799602,-0.00354195620717092,3.54195620717174e-06
13,7.8169569357911e-05,-6.19142870355027e-05,0.000119290984055498,-1.0514823852309e-06,-2.62870596307897e-06,0.000596365782184249,0.00112016961840267,-0.00343904708661803,3.4390470866185e-06
14,7.63696061814034e-05,-5.97646537914276e-05,0.000116986929527885,-1.03117345099258e-06,-2.57793362748275e-06,0.000584847231210328,0.00110810911020387,-0.00333909770433189,3.33909770433224e-06
15,7.46220564720179e-05,-5.76774955614034e-05,0.000114749119701107,-1.01144842623146e-06,-2.52862106557908e-06,0.00057365985424096,0.00109627930404899,-0.00324202076379505,3.24202076379572e-06
16,7.29252549298565e-05,-5.56510168782109e-05,0.000112575365765477,-9.92288017829211e-07,-2.48072004457346e-06,0.000562792708861837,0.00108467359623821,-0.00314773162911788,3.14773162911862e-06
17,7.12775911236863e-05,-5.3683475177535e-05,0.000110463553991469,-9.73673594460191e-07,-2.43418398615178e-06,0.00055223522800607,0.00107328560098141,-0.00305614824135707,3.05614824135624e-06
18,6.96775076477474e-05,-5.17731791878084e-05,0.000108411643128581,-9.5558716365924e-07,-2.3889679091494e-06,0.000541977206946487,0.00106210914292681,-0.00296719103753742,2.96719103753777e-06
19,6.81234983416212e-05,-4.99184873690162e-05,0.000106417661893898,-9.3801134968402e-07,-2.34502837420832e-06,0.000532008790740446,0.00105113824994807,-0.00288078287228782,2.88078287228807e-06
20,6.66141065706061e-05,-4.81178064027921e-05,0.000104479706547478,-9.20929372144955e-07,-2.30232343036325e-06,0.000522320462111092,0.00104036714618028,-0.0027968489420052,2.79684894200459e-06
21,6.51479235633801e-05,-4.63695897273686e-05,0.000102595938552663,-9.04325025387169e-07,-2.26081256346662e-06,0.000512903029749712,0.0010297902452987,-0.00271531671146303,2.71531671146297e-06
22,6.37235868079511e-05,-4.46723361207102e-05,0.000100764582317781,-8.88182658575001e-07,-2.22045664643664e-06,0.000503747617024319,0.00101940214402862,-0.00263611584278393,2.63611584278359e-06
23,6.23397785007862e-05,-4.30245883266123e-05,9.89839230159939e-05,-8.72487156480806e-07,-2.18121789120201e-06,0.000494845651081599,0.00100919761588281,-0.00255917812669858,2.55917812669836e-06
24,6.09952240488987e-05,-4.14249317240989e-05,9.7252304480655e-05,-8.57223920938156e-07,-2.14305980234496e-06,0.00048618885232643,0.000999171605111648,-0.00248443741601553,2.48443741601538e-06
25,5.96886906227834e-05,-3.98719930385649e-05,9.55681271747055e-05,-8.42378852931695e-07,-2.10594713232794e-06,0.000477769224268454,0.000989319220866758,-0.00241182956122946,2.41182956122951e-06
26,5.84189857585349e-05,-3.83644390932192e-05,9.3929846229579e-05,-8.27938335322756e-07,-2.06984583830776e-06,0.000469579043719803,0.000979635731564787,-0.0023412923481973,2.34129234819719e-06
27,5.71849560074833e-05,-3.69009755990524e-05,9.2335969553381e-05,-8.13889216166527e-07,-2.03472304041719e-06,0.000461610851335115,0.000970116559445788,-0.00227276543781461,2.27276543781491e-06
28,5.5985485631127e-05,-3.54803459834407e-05,9.07850560035728e-05,-8.00218792608616e-07,-2.00054698152284e-06,0.000453857442479055,0.000960757275321633,-0.00220619030762621,2.20619030762668e-06
29,5.48194953406966e-05,-3.41013302536108e-05,8.92757136241595e-05,-7.86914795347128e-07,-1.96728698836739e-06,0.000446311858411486,0.000951553593504739,-0.00214151019530795,2.14151019530852e-06
30,5.36859410794621e-05,-3.27627438974076e-05,8.78065979436071e-05,-7.73965373626444e-07,-1.93491343406654e-06,0.000438967377779598,0.000942501366912651,-0.00207867004395796,2.07867004395866e-06
31,5.25838128461187e-05,-3.14634368169253e-05,8.63764103321563e-05,-7.61359080762684e-07,-1.90339770190541e-06,0.000431817508404597,0.000933596582342267,-0.00201761644913823,2.01761644913825e-06
32,5.15121335576962e-05,-3.02022922953338e-05,8.49838964157579e-05,-7.4908486015924e-07,-1.8727121503994e-06,0.000424855979354488,0.000924835355907705,-0.00195829760760924,1.95829760760852e-06
33,5.0469957952104e-05,-2.89782259964566e-05,8.36278445459637e-05,-7.37132031822761e-07,-1.84283007955734e-06,0.000418076733291639,0.000916213928634946,-0.00190066326770213,1.90066326770204e-06
34,4.9456371526313e-05,-2.77901849946582e-05,8.23070843221085e-05,-7.25490279333656e-07,-1.81372569833457e-06,0.000411473919086913,0.000907728662209895,-0.00184466468127479,1.84466468127441e-06
35,4.84704895112875e-05,-2.66371468352622e-05,8.10204851648955e-05,-7.1414963727888e-07,-1.78537409319633e-06,0.000405041884689816,0.000899376034873445,-0.00179025455720036,1.79025455719975e-06
36,4.75114558818879e-05,-2.55181186235021e-05,7.97669549406077e-05,-7.03100479114947e-07,-1.7577511977878e-06,0.000398775170246446,0.000891152637456871,-0.00173738701633768,1.7373870163373e-06
37,4.65784423994142e-05,-2.44321361422273e-05,7.85454386312834e-05,-6.92333505461148e-07,-1.730833763652e-06,0.000392668501456361,0.000883055169556668,-0.00168601754793575,1.68601754793607e-06
38,4.56706476869018e-05,-2.33782629966983e-05,7.7354917052852e-05,-6.81839732784816e-07,-1.70459933196247e-06,0.000386716783160601,0.000875080435839948,-0.00163610296742495,1.63610296742556e-06
39,4.47872963359464e-05,-2.2355589784917e-05,7.61944056166808e-05,-6.71610482497718e-07,-1.67902620624473e-06,0.000380915093151968,0.000867225342477296,-0.00158760137555022,1.58760137555086e-06
